predicate,inverse,inverse_proportion,problematic_inverse
manifestation_of,associated_with,0.0718954248366013,False
affects,manifestation_of,0.07098381070983811,False
causes,affects,0.0706713780918728,False
causes,process_of,0.06713780918727916,False
associated_with,performs,0.06565656565656566,False
associated_with,affects,0.06565656565656566,False
complicates,location_of,0.0639269406392694,False
associated_with,degree_of,0.06060606060606061,False
associated_with,complicates,0.06060606060606061,False
associated_with,exhibits,0.06060606060606061,False
isa,affects,0.06015037593984962,False
affects,precedes,0.05977584059775841,False
assesses_effect_of,result_of,0.058823529411764705,False
location_of,complicates,0.05737704918032787,False
occurs_in,diagnoses,0.056338028169014086,False
associated_with,manifestation_of,0.05555555555555555,False
complicates,associated_with,0.0547945205479452,False
process_of,complicates,0.05420054200542006,False
process_of,degree_of,0.05420054200542006,False
location_of,co-occurs_with,0.05327868852459016,False
process_of,causes,0.051490514905149054,False
location_of,result_of,0.04918032786885246,False
measures,result_of,0.04827586206896552,False
result_of,degree_of,0.046153846153846156,False
process_of,co-occurs_with,0.04607046070460705,False
manifestation_of,occurs_in,0.0457516339869281,False
complicates,occurs_in,0.045662100456621,False
associated_with,precedes,0.045454545454545456,False
associated_with,process_of,0.04040404040404041,False
disrupts,result_of,0.03937007874015748,False
degree_of,conceptually_related_to,0.037037037037037035,False
disrupts,location_of,0.031496062992125984,False
affects,isa,0.029887920298879204,False
affects,complicates,0.028642590286425903,False
occurs_in,conceptual_part_of,0.028169014084507043,False
occurs_in,isa,0.028169014084507043,False
affects,degree_of,0.0273972602739726,False
affects,co-occurs_with,0.0273972602739726,False
complicates,isa,0.0273972602739726,False
result_of,occurs_in,0.026373626373626374,False
result_of,location_of,0.026373626373626374,False
affects,causes,0.024906600249066,False
produces,indicates,0.02262443438914027,False
process_of,occurs_in,0.02168021680216802,False
process_of,associated_with,0.02168021680216802,False
co-occurs_with,isa,0.020833333333333332,False
associated_with,location_of,0.020202020202020204,False
result_of,diagnoses,0.01978021978021978,False
manifestation_of,isa,0.0196078431372549,False
issue_in,isa,0.017937219730941704,False
result_of,treats,0.017582417582417582,False
precedes,conceptually_related_to,0.017543859649122806,False
location_of,disrupts,0.01639344262295082,False
location_of,associated_with,0.01639344262295082,False
affects,associated_with,0.0161892901618929,False
result_of,measures,0.015384615384615385,False
isa,complicates,0.015037593984962405,False
occurs_in,conceptually_related_to,0.014084507042253521,False
performs,affects,0.0136986301369863,False
part_of,surrounds,0.012738853503184714,False
part_of,connected_to,0.012738853503184714,False
isa,precedes,0.012531328320802004,False
result_of,disrupts,0.01098901098901099,False
isa,degree_of,0.010025062656641603,False
isa,issue_in,0.010025062656641603,False
affects,occurs_in,0.009962640099626401,False
affects,measurement_of,0.009962640099626401,False
produces,location_of,0.00904977375565611,False
location_of,adjacent_to,0.00819672131147541,False
location_of,indicates,0.00819672131147541,False
location_of,produces,0.00819672131147541,False
location_of,contains,0.00819672131147541,False
isa,manifestation_of,0.007518796992481203,False
result_of,assesses_effect_of,0.006593406593406593,False
result_of,prevents,0.006593406593406593,False
manifestation_of,conceptually_related_to,0.006535947712418301,False
part_of,location_of,0.006369426751592357,False
part_of,consists_of,0.006369426751592357,False
part_of,contains,0.006369426751592357,False
part_of,adjacent_to,0.006369426751592357,False
part_of,interconnects,0.006369426751592357,False
associated_with,isa,0.005050505050505051,False
isa,occurs_in,0.005012531328320802,False
affects,uses,0.0049813200498132005,False
complicates,conceptually_related_to,0.0045662100456621,False
location_of,part_of,0.004098360655737705,False
location_of,connected_to,0.004098360655737705,False
isa,co-occurs_with,0.002506265664160401,False
isa,associated_with,0.002506265664160401,False
result_of,conceptually_related_to,0.002197802197802198,False
affects,conceptually_related_to,0.0012453300124533001,False
affects,performs,0.0012453300124533001,False
